,A,B
0,27815364,26131556
1,28624066,29218900
2,26556772,26900925
3,29309592,18845632
4,24737801,27933336
5,24737801,19759313
6,28269956,25164209
7,28912502,19023138
8,19182169,29554474
9,29337066,24980869
10,30261308,19109369
11,28720167,28416568
12,30084889,25822718
13,19240155,26757712
14,25514971,27672085
15,28334147,27888797
16,19616855,19036857
17,28825153,19525392
18,26232900,28501330
19,28895531,26640144
20,27510243,19409267
21,28708808,28988823
22,26936823,19833312
23,24958707,19389189
24,26230265,19417206
25,19299402,26187411
26,28391068,28855204
27,24172832,19828841
28,28929824,26778773
29,27273229,28827327
30,28135707,19808256
31,27769221,19874788
32,24727903,19920350
33,24287030,30318410
34,27133132,24386979
35,29244988,26365178
36,24200103,24745333
37,29872168,19828695
38,19388081,26561980
39,30241147,19487688
40,27908899,29363548
41,26018466,23846959
42,24179163,25035393
43,24477673,19114277
44,28671688,19625653
45,19737955,29016807
46,27470602,19002432
47,28031394,27138737
48,24875389,18805555
49,19632792,25575639
50,27213683,25287161
51,23931656,26847546
52,29505682,27752082
53,25066141,19592619
54,27118787,29946143
55,28223407,19211761
56,29404979,29445136
57,25643835,29426931
58,25821919,27894806
59,27356948,19542201
60,28709429,24523945
61,28035724,27318830
62,25557138,19246624
63,30269996,29570986
64,27816770,27793595
65,19376593,19129213
66,29514095,24013230
67,28181923,19056689
68,18561095,26506427
69,19091158,27703156
70,26091296,27626380
71,27449995,26505089
72,25403087,28880952
73,27767345,30361701
74,27045138,27213816
75,25207766,25776754
76,19468089,26938296
77,29981925,19549522
78,20031576,24190619
79,26983616,29246946
80,28143522,27609061
81,28438473,25734998
82,29593351,27846608
83,27087570,19221013
84,26489851,19427509
85,25462201,29083414
86,28111279,25966683
87,28371107,19246623
88,30132266,19679677
89,24997565,27827367
90,19400690,24802126
91,25770649,18955130
92,24796849,29311235
93,28974674,27528222
94,24041968,29695718
95,26499807,18987328
96,26669971,26164072
97,19085212,24561662
98,26476637,29046480
99,27919967,25837283
