,0
0,"Stankovic, KM"
1,"Lampson, MA"
2,"Austin, SB"
3,"Ophir, AG"
4,"Missmer, SA"
5,"Ferrando, AA"
6,"Chou, S"
7,"Levin, PA"
8,"Powell, JD"
9,"Randolph, GJ"
10,"Alsberg, E"
11,"Keenan, RJ"
12,"Perelson, AS"
13,"Radhakrishnan, R"
14,"Gerlt, JA"
15,"Natarajan, R"
16,"Chang, HY"
17,"Szumlinski, KK"
18,"Curhan, GC"
19,"Ehrenreich, IM"
20,"Newmark, PA"
21,"Petzold, LR"
22,"Yashin, AI"
23,"Platt, ML"
24,"Stubbe, J"
25,"Hang, HC"
26,"Athar, M"
27,"Noble, WS"
28,"Kielian, M"
29,"Yang, VW"
30,"Ferris, RL"
31,"Lambert, JD"
32,"Kukreja, RC"
33,"Lee, BY"
34,"Jensen, MD"
35,"Atwood, WJ"
36,"Andersen, SL"
37,"Wand, AJ"
38,"Ruden, DM"
39,"Loo, JA"
40,"Cotter, PA"
41,"Mandell, DS"
42,"Wainwright, DA"
43,"Chandran, B"
44,"Gur, RE"
45,"Marchant, JS"
46,"Claassen, DO"
47,"Mori, S"
48,"Blelloch, RH"
49,"Hope, MD"
